hotspot_id,name,locality_area,zone,severity_tier,latitude,longitude,road_type,commute_relevance,data_confidence,source_note,coordinates_verified,rainfall_threshold_mm_per_hr,time_to_flood_after_threshold_min,typical_drain_time_hr,drainage_capacity_score
FCG-001,Subhash Chowk,Old Gurugram / Sohna Road-Sadar Bazaar junction,Zone 1,hypercritical,28.458,77.027,arterial junction,High,confirmed_named_multi_source,NewsX (2024) — named directly by MCG Commissioner as a recurring hotspot,"No — approximate, verify before production use",20.4,28,5.6,0.24
FCG-002,Basai Chowk,West Gurugram,Zone 1,hypercritical,28.465,76.995,arterial junction,High,confirmed_named_multi_source,"The Tribune (2022), NewsX (2024) — recurring across years","No — approximate, verify before production use",15.7,39,5.3,0.26
FCG-003,Khandsa Road,Old / West Gurugram,Zone 1,hypercritical,28.46,77.01,arterial road,High,confirmed_named_multi_source,NewsX (2024) — MCG Commissioner named it directly,"No — approximate, verify before production use",15.9,29,4.1,0.29
FCG-004,Sector 10A,Old Gurugram,Zone 1,hypercritical,28.472,77.018,sector arterial,Medium,confirmed_named_mcg_zone1,MCG 2026 pre-monsoon Zone 1 hotspot list; also named in NewsX (2024) as 'Sector 10',"No — approximate, verify before production use",19.5,36,4.3,0.15
FCG-005,Gandhi Nagar Booster,Old Gurugram,Zone 1,moderate,28.468,77.005,local road,Medium,confirmed_named_mcg_zone1,MCG 2026 pre-monsoon Zone 1 hotspot list,"No — approximate, verify before production use",30.5,43,2.7,0.51
FCG-006,Begumpur Khatola,West Gurugram,Zone 1,moderate,28.44,76.96,local / arterial,Medium,confirmed_named_mcg_zone1,MCG 2026 pre-monsoon Zone 1 hotspot list,"No — approximate, verify before production use",32.6,57,3.0,0.57
FCG-007,Fazilpur,West Gurugram,Zone 1,moderate,28.43,76.945,local road,Medium,confirmed_named_mcg_zone1,MCG 2026 pre-monsoon Zone 1 hotspot list; remedial work reported ongoing,"No — approximate, verify before production use",32.8,49,2.2,0.36
FCG-008,Pataudi Road,West Gurugram,Zone 1,moderate,28.455,76.97,arterial road,Medium,confirmed_named_multi_source,NewsX (2024) — MCG Commissioner named it directly,"No — approximate, verify before production use",26.5,74,2.6,0.59
FCG-009,AIT Chowk,Old Gurugram,Zone 1,moderate,28.475,76.99,junction,Medium,confirmed_named_multi_source,The Tribune (2022),"No — approximate, verify before production use",28.3,58,2.2,0.4
FCG-010,Sector 4 Market Road,Old Gurugram,Zone 1,minor,28.482,77.023,internal road,Low,reconstructed_estimate,Not found named in sources reviewed — placeholder to complete official count,"No — approximate, verify before production use",41.9,118,0.7,0.78
FCG-011,Old Railway Road,Old Gurugram,Zone 1,minor,28.469,77.021,narrow arterial,Medium,reconstructed_estimate,Not found named in sources reviewed — placeholder to complete official count,"No — approximate, verify before production use",46.6,139,1.2,0.71
FCG-012,Palam Vihar Extension,West Gurugram,Zone 1,minor,28.505,76.993,sector internal,Medium,reconstructed_estimate,Not found named in sources reviewed — placeholder to complete official count,"No — approximate, verify before production use",52.5,138,0.9,0.71
FCG-013,Rajendra Park,West Gurugram,Zone 1,minor,28.478,76.975,sector internal,Low,reconstructed_estimate,Not found named in sources reviewed — placeholder to complete official count,"No — approximate, verify before production use",50.2,98,0.7,0.65
FCG-014,IFFCO Chowk,NH-48 corridor,Zone 2,hypercritical,28.4595,77.0724,NH-48 major junction,High,confirmed_named_multi_source,"Business Standard (2025), NewsX (2024) — major recurring chokepoint","No — approximate, verify before production use",20.5,33,5.1,0.26
FCG-015,Rajiv Chowk,NH-48 corridor,Zone 2,hypercritical,28.4477,77.0691,NH-48 major junction,High,confirmed_named_multi_source,"The Tribune (2022), NewsX (2024), Business Standard (2025)","No — approximate, verify before production use",18.2,31,3.4,0.12
FCG-016,Signature Tower Flyover,NH-48,Zone 2,hypercritical,28.453,77.0965,NH-48 flyover/underpass,High,confirmed_named_multi_source,"The Tribune (2022), NewsX (2024)","No — approximate, verify before production use",19.7,29,4.7,0.25
FCG-017,Narsinghpur,"NH-48, south of city",Zone 2,hypercritical,28.385,76.98,NH-48 arterial,High,confirmed_named_multi_source,"The Tribune (2022, 2025) — 'really dangerous for commuters' per resident quote","No — approximate, verify before production use",19.4,31,4.7,0.16
FCG-018,Hero Honda Chowk,"NH-48, south of city",Zone 2,hypercritical,28.363,76.952,NH-48 major junction,High,confirmed_named_multi_source,"The Tribune (2022, 2025), NewsX (2024) — recurring every year in coverage","No — approximate, verify before production use",15.2,28,3.6,0.18
FCG-019,Sohna Road,South Gurugram,Zone 2,hypercritical,28.418,77.043,major arterial,High,confirmed_named_multi_source,"NewsX (2024), Business Standard (2025)","No — approximate, verify before production use",21.0,24,3.2,0.16
FCG-020,Golf Course Extension Road,South-East Gurugram,Zone 2,moderate,28.402,77.068,arterial,High,confirmed_named_multi_source,NewsX (2024) — 'heavily inundated',"No — approximate, verify before production use",27.9,73,2.3,0.55
FCG-021,Artemis Roundabout / NH-8,Sector 51,Zone 2,moderate,28.435,77.095,arterial roundabout,High,confirmed_named_multi_source,The Tribune (2025) — 'notorious choke point',"No — approximate, verify before production use",31.6,60,2.7,0.39
FCG-022,Southern Peripheral Road (SPR),South Gurugram,Zone 2,moderate,28.405,77.08,major arterial,High,confirmed_named_multi_source,"NewsX (2024), The Tribune (2025, as 'SPR-Wazirabad')","No — approximate, verify before production use",25.2,44,2.6,0.47
FCG-023,Wazirabad,South Gurugram,Zone 2,moderate,28.395,77.06,arterial,Medium,confirmed_named_multi_source,"Business Standard (2025, highest rainfall recorded here), The Tribune (2025)","No — approximate, verify before production use",26.6,65,1.7,0.52
FCG-024,Millennium Metro Station Area,Central Gurugram (MG Road),Zone 2,moderate,28.46,77.071,metro / arterial junction,High,confirmed_named_multi_source,NewsX (2024),"No — approximate, verify before production use",29.5,59,2.0,0.51
FCG-025,Sector 15,Central Gurugram,Zone 2,moderate,28.468,77.035,sector internal,Medium,confirmed_named_multi_source,NewsX (2024),"No — approximate, verify before production use",28.6,44,1.7,0.59
FCG-026,Mayfield Garden,Sector 51,Zone 2,moderate,28.415,77.055,sector road,Medium,confirmed_named_multi_source,The Tribune (2022),"No — approximate, verify before production use",34.1,74,1.9,0.59
FCG-027,Atlas Chowk,Central Gurugram,Zone 2,moderate,28.482,76.985,junction,Medium,confirmed_named_multi_source,The Tribune (2022),"No — approximate, verify before production use",32.8,75,2.2,0.42
FCG-028,CRPF Chowk,Central Gurugram,Zone 2,moderate,28.49,77.035,junction,Medium,confirmed_named_multi_source,The Tribune (2022),"No — approximate, verify before production use",26.0,85,2.2,0.4
FCG-029,Cyber City,"DLF, North Gurugram",Zone 2,moderate,28.495,77.089,commercial arterial,High,confirmed_named_multi_source,NewsX (2024) — cited as commuter destination affected by area flooding,"No — approximate, verify before production use",28.1,68,1.8,0.56
FCG-030,Udyog Vihar,North Gurugram,Zone 2,moderate,28.501,77.088,industrial / arterial,High,confirmed_named_multi_source,Recurring in general Gurugram monsoon coverage as an affected industrial belt,"No — approximate, verify before production use",32.6,75,2.1,0.51
FCG-031,Sector 56 Main Stretch,South-East Gurugram,Zone 2,moderate,28.43,77.105,sector road,Medium,reconstructed_estimate,Not found named in sources reviewed — placeholder to complete official count,"No — approximate, verify before production use",30.8,72,1.6,0.45
FCG-032,Leisure Valley / Sector 29,Central Gurugram,Zone 2,moderate,28.468,77.062,sector / commercial road,Medium,reconstructed_estimate,Not found named in sources reviewed — placeholder to complete official count,"No — approximate, verify before production use",25.4,64,2.0,0.39
FCG-033,DLF Phase 2 Internal Road,DLF area,Zone 2,minor,28.483,77.094,internal road,Low,reconstructed_estimate,Not found named in sources reviewed — placeholder to complete official count,"No — approximate, verify before production use",41.6,125,0.7,0.84
FCG-034,South City Internal Road,South City,Zone 2,minor,28.448,77.05,internal road,Low,reconstructed_estimate,Not found named in sources reviewed — placeholder to complete official count,"No — approximate, verify before production use",48.7,110,1.1,0.65
FCG-035,Sector 49 Internal Road,South Gurugram,Zone 2,minor,28.408,77.062,internal road,Low,reconstructed_estimate,Not found named in sources reviewed — placeholder to complete official count,"No — approximate, verify before production use",54.4,118,1.3,0.67
FCG-036,Sector 67 Residential Road,South Gurugram,Zone 2,minor,28.398,77.055,internal road,Low,reconstructed_estimate,Not found named in sources reviewed — placeholder to complete official count,"No — approximate, verify before production use",47.3,119,1.4,0.76
